"","index","Year","Goal","Goal0","Author_original","Author_first","Author_firstname","AuthorType","Gender","Title"
"202","dsa205",2022,"Public Engagement","Engagement","STEM Learning by Doing","",NA,"association","association","Mass Extinction Magnitude Data Sonification"
"203","dsa206",2013,"Public Engagement","Engagement","Arvid Tomayko","Arvid Tomayko","Arvid","single","male","Massachusetts Geophonic"
"204","dsa207",2010,"Research","Research","Ben Craven","Ben Craven","Ben","single","male","Max/MSP Stock Market Sonification"
"205","dsa208",2017,"Accessibility","Research","Inouk Demers","Inouk Demers","Inouk","single","male","Mesh"
"206","dsa209",2022,"Public Engagement","Engagement","The Voice of Ygg","Mark S","Mark","multiple","male","Mimosa Sonification"
"207","dsa210",2015,"Art","Art","Brian Foo","Brian Foo","Brian","single","male","Mixed Attraction"
"208","dsa211",2017,"Art","Art","Shelly Knotts","Shelly Knotts","Shelly","single","female","Molecular Soundscapes"
"209","dsa212",2019,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","Moon Impacts"
"210","dsa213",2018,"Public Engagement","Engagement","Greg Salvesen","Greg Salvesen","Greg","single","male","Mr. Black Hole, Will You Go into Outburst, Please?"
"211","dsa214",2018,"Research","Research","Gregorio Panerai","Gregorio Panerai","Gregorio","single","male","Multivariable Data Sonification - Solar Activities"
"212","dsa215",2005,"Research","Research","Jonathan N. Middleton, Andrew Cobb, Michael Henry, Robert Lyon, and Ian Siemer","Jonathan Middleton","Jonathan","multiple","male","Music Algorithms"
"213","dsa216",2015,"Art","Art","Brian Foo","Brian Foo","Brian","single","male","Music Eclipticalis"
"214","dsa217",2014,"Art","Art","James Murphy","James Murphy","James","single","male","Music made with Tennis Data"
"215","dsa218",2013,"Public Engagement","Engagement","Radek Rudnicki and Kevin Hicks - Swedish Environment Institute","Radek Rudnicki","Radek","multiple","male","Music of the Atmosphere/ Space Fight"
"216","dsa219",2020,"Art","Art","Rosten Woo","Rosten Woo","Rosten","single","male","Mutual Air"
"217","dsa220",2003,"Art","Art","Jason Freeman","Jason Freeman","Jason","single","male","N.A.G. (Network Auralization for Gnutella)"
"218","dsa221",2018,"Public Engagement","Engagement","NASA/Domenico Vicinanza","Domenico Vicinanza","Domenico","multiple","male","NASA SC18 Opportunity Mars Sunrise"
"219","dsa222",2022,"Education","Engagement","NASA/CXC/SAO/K. Arcand/A. Jubett/K. DiVona, SYSTEM Sounds (M.Russo, A. Santaguida)v","Kimberly Arcand","Kimberly","multiple","female","NASA'S Space Jam"
"220","dsa223",2016,"Research","Research","J. Chaput, R. C. Aster, D. McGrath, M. Baker, R. E. Anthony, P. Gerstoft, P. Bromirski, A. Nyblade, R. A. Stephen, D. A. Wiens, S. B. Das, L. A. Stevens","Julien Chaput","Julien","multiple","male","Near Surface Environmentally Forced Changes in the Ross Ice Shelf Observed With Ambient Seismic Noise"
"221","dsa224",2015,"Data Monitoring","Research","David Worrall and Fraunhofer Institute","David Worrall","David","multiple","male","NetSon"
"222","dsa225",2018,"Public Engagement","Engagement","Greg Salvesen","Greg Salvesen","Greg","single","male","Never a Mundane Supernova in the Sky"
"223","dsa226",2011,"Art","Art","Alexander Chen","Alexander Chen","Alexander","single","male","New York Metro System (MTA)"
"224","dsa228",2020,"Public Engagement","Engagement","Jetpack","Jetpack","Jetpack","single","male","Noisy City. Audible Data Visualization in Brussels"
"225","dsa229",2014,"Art","Art","Falk Morawitz","Falk Morawitz","Falk","single","male","Nuclear Magnetic Resonance"
"226","dsa230",2013,"Public Engagement","Engagement","Niel Rolnik","Niel Rolnik","Niel","single","male","Oceans Eat Cities"
"227","dsa231",2020,"Art","Art","Jamie Perera","Jamie Perera","Jamie","single","male","Oil, Coal & Gas for Three Cellos"
"228","dsa232",2018,"Art","Art","Falk Morawitz","Falk Morawitz","Falk","single","male","On The Extinction Of A Species"
"229","dsa233",2014,"Art","Art","Rory Viner","Rory Viner","Rory","single","male","One Year of Suicide in Japan for Piano"
"230","dsa234",2021,"Education","Engagement","Elias Elmquist, Malin Ejdbo, Alexander Bock, Niklas Ronnberg","Elias Elmquist","Elias","multiple","male","Open Space Sonification"
"231","dsa235",2018,"Education","Engagement","Allyson Bieryla, Sóley Hyman (University of Arizona), Daniel Davis (Harvard University), Wanda Diaz Merced","Allyson Bieryla","Allyson","multiple","female","Orchestar"
"232","dsa236",2018,"Public Engagement","Engagement","Cassandra Marsillo","Cassandra Marsillo","Cassandra","single","female","Ottawa Love Stories"
"233","dsa237",2018,"Public Engagement","Engagement","Greg Salvesen","Greg Salvesen","Greg","single","male","Our Galaxy is Only One of Trillions in this Amazing and Expanding Universe"
"234","dsa238",2022,"Public Engagement","Engagement","Kovi Rose","Kovi Rose","Kovi","single","male","Our Sun keeps beating while global temperatures are screaming"
"235","dsa239",2016,"Public Engagement","Engagement","Samuel Van Ransbeeck, Nico Espinoza, Rafucko, Tori Holmes","Samuel Van_Ransbeeck","Samuel","multiple","male","Outros Registros"
"236","dsa240",2014,"Public Engagement","Engagement","Rachel Devorah","Rachel Devorah","Rachel","single","female","Overmorrow, Gun violence in US"
"237","dsa241",2016,"Art","Art","PerMagnus Lindborg","Per Magnus_Lindborg","Per","association","male","Pacific Belltower"
"238","dsa242",2014,"Public Engagement","Engagement","Frank Swain and Daniel Jones","Frank Swain","Frank","multiple","male","Phantom Terrains"
"239","dsa243",2019,"Public Engagement","Engagement","Judy Twet","Judy Twet","Judy","single","female","Piano Piece"
"240","dsa244",2015,"Public Engagement","Engagement","Daniel Crawford & Scott S. George/University of Minnesota","Daniel Crawford","Daniel","multiple","male","Planetary Bands, Warming World"
"241","dsa245",2018,"Public Engagement","Engagement","Greg Salvesen","Greg Salvesen","Greg","single","male","Planetary Octet, with Apologies to Pluto"
"242","dsa246",2018,"Public Engagement","Engagement","Adrián García Riber","Adrián Riber","Adrián","single","male","Planethesizer"
"243","dsa247",2009,"Art","Art","Warren Burt","Warren Burt","Warren","single","male","Playing the lottery in plano"
"244","dsa248",2013,"Public Engagement","Engagement","Polar Seeds Group /  Tedesco, M. ; Perl, J. ; Saltz, I. ; Ham, E. ","Marina Tedesco","Marina","multiple","female","Polarseeds"
"245","dsa249",2014,"Data Monitoring","Research","Dan Lockton, Flora Bowden, Rama Gheerawo, Clare Brass, Claire Matthews","Dan Lockton","Dan","multiple","male","Powerchord"
"246","dsa250",2011,"Data Analysis","Research","PriceSquawk Audible Market Technology","Peter Davies","Peter","association","male","PriceSquawk"
"247","dsa251",2013,"Art","Art","Tom Zimmerman","Tom Zimmerman","Tom","single","male","Project: Autobahn"
"248","dsa252",2015,"Art","Art","Antonio della Marina","Antonio della_Marina","Antonio","single","male","Pulse (25 years of ocean tides)"
"249","dsa253",2019,"Data Analysis","Research","Brian Hansen, Joseph Burchett","Brian Hansen","Brian","multiple","male","Quasar Spectroscopy Sound"
"250","dsa254",2012,"Art","Art","Brian House","Brian House","Brian","single","male","Quotidian Record"
"251","dsa255",2014,"Public Engagement","Engagement","Rory Viner","Rory Viner","Rory","single","male","Radiation as Music"
"252","dsa256",2020,"Data Analysis","Research","Mark Temple","Mark Temple","Mark","single","male","Real-time audio and visual display of the Coronavirus genome"
"253","dsa257",2018,"Public Engagement","Engagement","The Economist / Anna Dziubinska Ben Willers Benjamin Royer Chris Brown Chris Hawes Jemma Long Louis De Fouchier Lucia Kocincova Matt Falla Matt Rowett Paul Button Ryan Garratt Valentina D'Efilippo Zdenek Hynek ","Anna Dziubinska","Anna","multiple","female","Reimagine The Game"
"254","dsa258",2017,"Public Engagement","Engagement","Sara Lenzi","Sara Lenzi","Sara","single","female","Res Extensae"
"255","dsa259",2015,"Art","Art","Brian Foo","Brian Foo","Brian","single","male","Rhapsody in Grey"
"256","dsa260",2011,"Art","Art","Varvara Guljajeva and Mar Canet Sola","Varvara Guljajeva","Varvara","multiple","female","Rhythms of the City"
"257","dsa261",2004,"Research","Research","Mara Helmuth","Mara Helmuth","Mara","single","female","Rock Music"
"258","dsa262",2013,"Research","Research","Jon Bellona and students","Jon Bellona","Jon","multiple","male","San Giovanni Elemosinario"
"259","dsa263",2008,"Art","Art","Tara Rodgers","Tara Rodgers","Tara","single","female","Sand, snow, breeze"
"260","dsa264",2020,"Research","Research","Eddie Martin","Eddie Martin","Eddie","single","male","SARS Coronavirus Replicase Sonification"
"261","dsa265",2017,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","Saturn Harp"
"262","dsa266",2017,"Data Analysis","Research","Jeongho Park","Jeongho Park","Jeongho","single","male","Saturn Ring Sonification"
"263","dsa267",2017,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","Saturn Sounds"
"264","dsa268",2014,"Data Analysis","Research","Forensic Architecture","Eyal Weizman","Eyal","association","male","Saydnaya - Inside a Syrian Torture Prison"
"265","dsa269",2013,"Art","Art","Space F!ght","Radek Rudnicki","Radek","association","male","Sci-Fi"
"266","dsa270",2020,"Research","Research","Shapiro","Michael Shapiro","Michael","association","male","Scientists use sound to track tiny organisms in the body"
"267","dsa271",2010,"Art","Art","Yann Seznec & Patrick Hickey","Yann Seznec","Yann","multiple","male","Secret Sounds of Spores"
"268","dsa272",2015,"Data Journalism","Engagement","Reveal News","Michael Corey","Michael","association","male","Seismic Activity in Oklahoma"
"269","dsa273",2006,"Public Engagement","Engagement","Seismic Sound Lab: Ben Holtzman and Jason Candler","Ben Holtzman","Ben","multiple","male","SeismoDome"
"270","dsa274",2017,"Accessibility","Research","Wendy Voorn","Wendy Voorn","Wendy","single","female","SenseMath"
"271","dsa275",2009,"Art","Art","Jim Bumgardner","Jim Bumgardner","Jim","single","male","Shallow Brown, The Musical Chess Engine"
"272","dsa276",2009,"Data Analysis","Research","David Worrall","David Worrall","David","single","male","Share Market"
"273","dsa277",2019,"Public Engagement","Engagement","Katja Striedelmeyer","Katja Striedelmeyer","Katja","single","female","Shifting Apple Blossom in Bremen - Data Sonification with a Music Box"
"274","dsa278",2015,"Art","Art","Dmitry Morozov","Dmitry Morozov","Dmitry","single","male","Silk"
"275","dsa279",2011,"Education","Engagement","Michael R. Winters, Andrew Blaikie, Deva O’Neil","Michael Winters","Michael","multiple","male","Simulating the electroweak phase transition: sonification of bubble nucleation"
"276","dsa280",2019,"Data Analysis","Research","Avi Dascalu and Eli David","Avi Dascalu","Avi","multiple","male","Skin cancer detection by sonification"
"277","dsa281",2010,"Art","Art","Fabio Cifariello Ciardi","Fabio Cifariello_Ciardi","Fabio","single","male","sMax, a toolkit for financial data sonification"
"278","dsa282",2021,"Research","Research","Joachim Allhoff","Joachim Allhoff","Joachim","single","male","Social Milieus Sonification"
"279","dsa283",2022,"Research","Research","Eric Sanchez & André Cibils - LIP/TECFA University of Geneva","Eric Sanchez","Eric","multiple","male","SODA: SOnification of DAta for Learning Analytics"
"280","dsa284",2010,"Art","Art","Luke Twyman (WhiteVinylDesign)","Luke Twyman","Luke","multiple","male","Solar Beat"
"281","dsa285",1997,"Research","Research","Alexander Kosovichev","Alexander Kosovichev","Alexander","single","male","Solar Sounds"
"282","dsa286",2014,"Research","Research","Solar and Heliospheric Research Group at the University of Michigan.","Enrico Landi","Enrico","multiple","male","Solar Wind Audification"
"283","dsa287",2011,"Education","Engagement","David Bithell and Roberto Morales","David Bithell","David","multiple","male","Solar Wind: Sounds Of Space, Stereo Spectro"
"284","dsa288",2004,"Research","Research","Yeo, Berger, Lee at CCRMA","WoonSeung Yeo","WoonSeung","multiple","male","SonART"
"285","dsa289",2010,"Research","Research","Levy Lorenzo, Stony Brook University","Levy Lorenzo","Levy","multiple","male","Song of the tides"
"286","dsa290",2023,"Public Engagement","Engagement","Berit Kruse, Christian Basl","Berit Kruse","Berit","multiple","female","Soni Friday: This is a man's world (almost)"
"287","dsa291",2020,"Research","Research","Locke Patton and Emily Levesque","Locke Patton","Locke","multiple","male","Soni-Py"
"288","dsa292",2020,"Research","Research","Arianna Salazar Miranda and Dylan Halpern","Arianna Salazar_Miranda","Arianna","multiple","female","Sonic Cities"
"289","dsa293",2013,"Art","Art","Anastasia Fiori Metallinou and Anthony P","Anastasia Metallinou","Anastasia","multiple","female","Sonic Landscape #1"
"290","dsa294",2013,"Art","Art","Fiori Anastasia Metallinou and Anthony P","Fiori Metallinou","Fiori","multiple","female","Sonic Landscape #2"
"291","dsa295",2015,"Public Engagement","Engagement","Kasper Fangel Skov","Kasper Fangel_Skov","Kasper","single","male","Sonic particles 2.0"
"292","dsa296",2017,"Data Analysis","Research","Daniel Ruten","Daniel Ruten","Daniel","single","male","Sonic Word Cloud"
"293","dsa297",2020,"Public Engagement","Engagement","Jamie Perera","Jamie Perera","Jamie","single","male","Sonification - England Covid 19 Deaths by Day from March 1st - Updated June 12th 2020"
"294","dsa298",2019,"Data Monitoring","Research","Sara Lenzi, Ginevra Terenghi, Riccardo Taormina, Stefano Galelli, Paolo Ciuccarelli","Sara Lenzi","Sara","multiple","female","Sonification for cyber-attacks on water distribution systems"
"295","dsa299",2012,"Research","Research","Gerard Paresys","Gerard Paresys","Gerard","single","male","Sonification Image 1"
"296","dsa300",2012,"Art","Art","Gerard Paresys","Gerard Paresys","Gerard","single","male","Sonification Image 2"
"297","dsa301",2016,"Research","Research","Nik Sawe and Lauren Oakes","Nik Sawe","Nik","multiple","male","Sonification of Alaskan forest changes"
"298","dsa302",2016,"Public Engagement","Engagement","Jonathan Eiseman aka Aedes Aegypti","Jonathan Eiseman","Jonathan","single","male","Sonification of Atmospheric Carbon Dioxide in PPM (1958-2008)"
"299","dsa303",2020,"Research","Research","Romain Vuillemot","Romain Vuillemot","Romain","single","male","Sonification of COVID19 data"
"300","dsa304",2018,"Research","Research","Dima Bekerman, Avishay Zawoznik, Johnathan Azaria, Koby Kilimnik","Dima Bekerman","Dima","multiple","male","Sonification of DDoS Attacks"
"301","dsa305",2018,"Research","Research","Maria Mannone","Maria Mannone","Maria","single","female","Sonification of DNA geometric structure"
"302","dsa306",2023,"Public Engagement","Engagement","SYSTEM Sounds (M. Russo, A. Santaguida)","Matt Russo","Matt","multiple","male","Sonification of Every Gravitational Wave"
"303","dsa307",2012,"Research","Research","Peter Tigges","Peter Tigges","Peter","single","male","Sonification of Go"
"304","dsa308",2019,"Public Engagement","Engagement","NASA/Hubble/SYSTEM Sounds (Matt Russo/Andrew Santaguida)","Matt Russo","Matt","multiple","male","Sonification of Hubble Telescope"
"305","dsa309",2021,"Public Engagement","Engagement","Kofi (Illestpreacha)","Kofi Oduro","Kofi","multiple","male","Sonification of Hypertension & Heart Disease"
"306","dsa310",2015,"Art","Art","Stephen Hensley","Stephen Hensley","Stephen","single","male","Sonification of MBTA"
"307","dsa311",2022,"Research","Research","Maria Mannone and Veronica Distefano","Maria Mannone","Maria","multiple","female","Sonification of Medical Data"
"308","dsa312",2020,"Research","Research","Anna Barth , Leif Karlstrom , Benjamin K. Holtzman , Arthur Paté , Avinash Nayak","Anna Barth","Anna","multiple","female","Sonification of Multivariate Data to Illuminate Dynamics of Geyser Eruptions"
"309","dsa313",2022,"Accessibility","Research","Valentina Sulis","Valentina Sulis","Valentina","single","female","Sonification of Muonic and Non Muonic Events"
"310","dsa314",2018,"Research","Research","Ben Robertson, Dr Middleton, Dr Hegg","Ben Robertson","Ben","multiple","male","Sonification of Salmon Migration in the Snake River"
"311","dsa315",2021,"Art","Art","Max Alyokhin","Max Alyokhin","Max","single","male","Sonification of the public transport data"
"312","dsa316",2017,"Art","Art","Wayne Grim","Wayne Grim","Wayne","single","male","Sonification of the Total Solar Eclipse August 2017"
"313","dsa317",2006,"Art","Art","Martin John Callanan","Martin Callanan","Martin","single","male","Sonification of you"
"314","dsa318",2002,"Research","Research","Psychology Department's Sonification Lab at the Georgia Institute of Technology, Bruce Walker","Bruce Walker","Bruce","multiple","male","Sonification Sandbox"
"315","dsa319",2022,"Education","Engagement","Carla Scaletti, Meredith M. Rickard, Kurt J. Hebel, Taras V. Pogorelov, Stephen A. Taylor, and Martin Gruebele","Carla Scaletti","Carla","multiple","female","Sonification-Enhanced Lattice Model Animations of the Protein Folding Reaction"
"316","dsa320",2022,"Public Engagement","Engagement","Berit Kruse, Christian Basl","Berit Kruse","Berit","multiple","female","Sonifriday: Flood of the Century"
"317","dsa321",2022,"Public Engagement","Engagement","Berit Kruse & Christian Basl ","Berit Kruse","Berit","multiple","female","Sonifriday: This is fine"
"318","dsa322",2019,"Data Analysis","Research","Rhea Braun, Roseanne Ford (UVA), Maxwell Tfirn (CNU)","Rhea Braun","Rhea","multiple","female","Sonifying Bacterial Chemotaxis"
"319","dsa323",2011,"Public Engagement","Engagement","Ryan McGee, Jatila van der Veen, Matthew Wright, JoAnn Kuchera-Morin, Basak Alper, Philip Lubin","Ryan McGee","Ryan","multiple","male","Sonifying the cosmic microwave background"
"320","dsa324",2007,"Research","Research","David Worrall","David Worrall","David","single","male","Sonipy"
"321","dsa325",2021,"Education","Engagement","Phia Damsma and John Norgaard (Sonokids)","Phia Damsma","Phia","multiple","female","Sonoplanet"
"322","dsa326",2015,"Accessibility","Research","Beatriz García, Johanna Casado (CONICET), Gonzalo de la Vega, Wanda Díaz Merced (EGO)","Beatriz García","Beatriz","multiple","female","sonoUno"
"323","dsa327",2017,"Data Monitoring","Research","Paul Vickers","Paul Vickers","Paul","single","male","SoNSTAR"
"324","dsa328",2013,"Data Analysis","Research","Timo Bingmann","Timo Bingmann","Timo","single","male","Sorting algorithms"
"325","dsa329",2021,"Research","Research","ISA and European Space Agency","",NA,"multiple","association","Sound of a close Venus flyby"
"326","dsa330",2012,"Data Analysis","Research","Helena Davidova","Helena Davidova","Helena","single","female","Sound of Money"
"327","dsa331",2014,"Data Monitoring","Research","Dan Lockton","Dan Lockton","Dan","single","male","Sound of the Office"
"328","dsa332",2021,"Research","Research","MPO-MAG and European Space Agency","",NA,"multiple","association","Sound of the solar wind at Mercury"
"329","dsa334",2017,"Data Journalism","Engagement","Jim Briggs and Michael Corey - Reveal","Jim Briggs","Jim","multiple","male","Sounding out the border wall"
"330","dsa335",2022,"Public Engagement","Engagement","Erik Griswold, Rebecca Cunningham, Steve Berrick","Erik Griswold","Erik","multiple","male","Sounding Tides"
"331","dsa336",2020,"Public Engagement","Engagement","NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (Matt Russo/Andrew Santaguida)","Kimberly Arcand","Kimberly","multiple","female","Sounds from around the Milky Way"
"332","dsa337",2017,"Art","Art","Fiori Anastasia Metallinou and Vasilis Agiomyrgianakis (Ionian University)","Fiori Metallinou","Fiori","multiple","female","Sounds of a Magnetic Storm"
"333","dsa338",2019,"Public Engagement","Engagement","NASA/JPL-Caltech/CNES/IPGP/Imperial College/Cornell","",NA,"multiple","association","Sounds of Mars"
"334","dsa339",2004,"Education","Engagement","Paul Francis","Paul Francis","Paul","single","male","Sounds of the Universe"
"335","dsa340",2021,"Research","Research","Sara Lenzi, PerMagnus Lindborg, Juan Sádaba","Sara Lenzi","Sara","multiple","female","Soundscape in Times of Change"
"336","dsa341",2022,"Public Engagement","Engagement","NASA, ESA, CSA, STScI, Kimberly Arcand (CXC, SAO), Matt Russo (SYSTEM Sounds), Andrew Santaguida (SYSTEM Sounds), Quyen Hart (STScI), Claire Blome (STScI), Christine Malec","Kimberly Arcand","Kimberly","multiple","female","Southern Ring Nebula Sonifications"
"337","dsa343",2014,"Public Engagement","Engagement","Office for Creative Reseach and Microsoft","Jer Thorp","Jer","multiple","male","Specimen Box"
"338","dsa344",2021,"Art","Art","Tomas Saraceno and Ian Hattwick, Isabelle Su, Christine Southworth, Evan Ziporyn and Markus Buehler (MIT)","Tomas Saraceno","Tomas","multiple","male","Spider web sonification"
"339","dsa345",2015,"Art","Art","Falk Morawitz","Falk Morawitz","Falk","single","male","Spin Dynamics"
"340","dsa346",2022,"Public Engagement","Engagement","Nilangika Fernando","Nilangika Fernando","Nilangika","single","female","Sri Lanka Credit Score"
"341","dsa347",2011,"Art","Art","Akko Goldenbeld","Akko Goldenbeld","Akko","single","male","StadsmuziekCitymusic"
"342","dsa348",2021,"Art","Art","PerMagnus Lindborg","Per Magnus_Lindborg","Per","association","male","Stairway to Helheim"
"343","dsa349",2012,"Public Engagement","Engagement","Bard Edlund","Bard Edlund","Bard","single","male","Stanley cup"
"344","dsa350",2012,"Research","Research","Harvard Smithsonian/Wanda Diaz Merced","Wanda Diaz-Merced","Wanda","multiple","female","Star's Song"
"345","dsa351",2021,"Data Analysis","Research","Jeff Cooke, Jeff Hannam (RMIT, Melbourne, Australia), Garry Foran (Swinburne University, Melbourne)","Jeff Cooke","Jeff","multiple","male","StarSound"
"346","dsa352",2015,"Public Engagement","Engagement","Francesco Fabris","Francesco Fabris","Francesco","single","male","Stellar"
"347","dsa353",2007,"Research","Research","Matthieu Saladin","Matthieu Saladin","Matthieu","single","male","Stock Exchange Piece"
"348","dsa354",2020,"Public Engagement","Engagement","Jordan Wirfs-Brock","Jordan Wirfs-Brock","Jordan","single","male","What sound does a volatile stock market make?
"
"349","dsa355",2009,"Research","Research","Patrick Sebastien Coulombe","Patrick Coulombe","Patrick","single","male","Stock Market Music"
"350","dsa356",2021,"Data Analysis","Research","James Trayford","James Trayford","James","single","male","STRAUSS"
"351","dsa357",2010,"Art","Art","Daniel Feles, Gergely Krisztian, Kiss Laszlo","Daniel Feles","Daniel","multiple","male","Submap Ebullition 2.0"
"352","dsa358",2021,"Accessibility","Research","Raffaella Margutti","Raffaella Margutti","Raffaella","single","female","Supernova sonification"
"353","dsa359",2022,"Art","Art","Simon Huwiler","Simon Huwiler","Simon","single","male","Talkative Men – The Gender Differenc in the Zurich Cantonal Council"
"354","dsa360",2021,"Public Engagement","Engagement","Duncan Geere & Miriam Quick (Loud Numbers)","Duncan Geere","Duncan","multiple","male","Tasting Notes"
"355","dsa361",2007,"Public Engagement","Engagement","Marty Quinn","Marty Quinn","Marty","single","male","The Climate Symphony"
"356","dsa362",2017,"Art","Art","Rich Bultitude","Rich Bultitude","Rich","single","male","The Conditional Orchestra"
"357","dsa363",1999,"Art","Art","David Calvet Dirk Hoffmann (CPPM) Richard Kronland (PRISM) Claude Vallée (CPPM) Thierry Voinier (PRISM)","Claude Vallée","Claude","multiple","male","The Cosmophone: Toward a Sensuous Insight into Hidden Reality"
"358","dsa364",2021,"Public Engagement","Engagement","Duncan Geere & Miriam Quick (Loud Numbers)","Duncan Geere","Duncan","multiple","male","The End of the Road"
"359","dsa365",2016,"Data Analysis","Research","Michael Quinton, David Benyon, Iain McGregor. Edinburgh Napier University.","Michael Quinton","Michael","multiple","male","The Four Inner Planets"
"360","dsa366",2016,"Art","Art","Fondation Cartier/United Visual Artists","Bernie Krause","Bernie","multiple","male","The Great Animal Orchestra"
"361","dsa367",2019,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","The K2-138 Exoplanets"
"362","dsa368",2014,"Data Analysis","Research","Forensic Architecture","Eyal Weizman","Eyal","association","male","The killing of Nadeem Nawara and Mohammed Abu Daher"
"363","dsa369",2012,"Art","Art","Constantine Zlatev","Constantine Zlatev","Constantine","single","male","The Last Gun"
"364","dsa370",2012,"Art","Art","Daniel Jones & Peter Gregson","Daniel Jones","Daniel","multiple","male","The Listening Machine"
"365","dsa371",2020,"Research","Research","Artash Nath and Arushi Nath","Artash Nath","Artash","multiple","male","The Masked Scales Sonification of COVID19 Lockdown"
"366","dsa372",2018,"Public Engagement","Engagement","Mark Heyer  and Greg Salvesen","Mark Heyer","Mark","multiple","male","The Milky Way Blues"
"367","dsa373",2018,"Research","Research","Aris Tritsis","Aris Tritsis","Aris","single","male","The Musca mulecular cloud An interstellar symphony"
"368","dsa374",2021,"Public Engagement","Engagement","Duncan Geere & Miriam Quick (Loud Numbers)","Duncan Geere","Duncan","multiple","male","The Natural Lottery"
"369","dsa375",2012,"Art","Art","Nicolas Maigret","Nicolas Maigret","Nicolas","single","male","The Pirate Cinema"
"370","dsa376",2014,"Art","Art","David Johnson","David Johnson","David","single","male","The Poseidon Ensemble"
"371","dsa377",2022,"Research","Research","Benjamin Renard ","Benjamin Renard","Benjamin","single","male","The rhythm of flood occurrences"
"372","dsa378",2007,"Art","Art","Yolande Harris","Yolande Harris","Yolande","single","female","The Satellite Sounders"
"373","dsa379",2019,"Public Engagement","Engagement","Liu Chang","Liu Chang","Liu","single","female","The Silent Cries of China Depressed Netizens"
"374","dsa380",2018,"Research","Research","Joachim Allhoff","Joachim Allhoff","Joachim","single","male","The Sound and the Social - Sonification in Social Research"
"375","dsa381",2017,"Data Journalism","Engagement","Neal Razzell, BBC","Neal Razzell","Neal","multiple","male","The sound of a falling currency"
"376","dsa382",2020,"Research","Research","MPO-MAG and European Space Agency","",NA,"multiple","association","The sound of BepiColombo's Earth flyby (magnetometer measurements)"
"377","dsa383",2021,"Public Engagement","Engagement","Simon Huwiler","Simon Huwiler","Simon","single","male","The Sound of Crowns and Tears"
"378","dsa384",2018,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","The Sound of Jupiter's Moons"
"379","dsa385",2012,"Art","Art","David Runge","David Runge","David","single","male","The Sound Of People"
"380","dsa386",2001,"Research","Research","Jodrell Bank Centre for Astrophysics, University of Manchester","",NA,"multiple","association","The Sound of Pulsars"
"381","dsa387",2022,"Research","Research","Omar Shehata","Omar Shehata","Omar","single","male","The Sound of Sight"
"382","dsa388",2021,"Research","Research","Jerónimo Vida Manzano, José Antonio Almagro Pastor, Rafael García Quesada, Francesco Aletta, Tin Oberman, Andrew Mitchell, and Jian Kang","Jerónimo Vida_Manzano","Jerónimo","multiple","male","The sound of silence in Granada during the COVID-19 lockdown"
"383","dsa389",2016,"Data Journalism","Engagement","Matt Kenney, Foreign Affairs","Matt Kenney","Matt","multiple","male","The Sound of the Economy: Data Sonification and the Cheeseburger Index"
"384","dsa390",2021,"Research","Research","European Space Agency (ESA)","",NA,"multiple","association","The sound of the solar wind at Venus"
"385","dsa391",2013,"Data Analysis","Research","Jeff Hemsley","Jeff Hemsley","Jeff","single","male","The sound of Twitter"
"386","dsa392",2016,"Research","Research","Kitti Balogh, Zoltan Varju","Kitti Balogh","Kitti","multiple","female","The Sounds of Migration"
"387","dsa393",2008,"Public Engagement","Engagement","Mark Whittle and Jonathan Keats","Mark Whittle","Mark","multiple","male","The Sounds of the Big Bang"
"388","dsa394",2010,"Research","Research","Francisco Camas","Francisco Camas","Francisco","single","male","The Stellar Choir"
"389","dsa395",2020,"Art","Art","Deraout ft. GenM","Juan Deraout","Juan","multiple","male","The THC Code"
"390","dsa396",2021,"Public Engagement","Engagement","Duncan Geere & Miriam Quick (Loud Numbers)","Duncan Geere","Duncan","multiple","male","The UK's July 2022 Heatwave Turned Into Sound"
"391","dsa397",2018,"Public Engagement","Engagement","Greg Salvesen","Greg Salvesen","Greg","single","male","The Universe Itself Keeps on Expanding and Expanding"
"392","dsa398",2009,"Art","Art","Nathalie Miebach","Nathalie Miebach","Nathalie","single","female","The weather score project"
"393","dsa399",2019,"Art","Art","Band of Weeds","Kalle Hamm","Kalle","multiple","male","The Weep of Trees"
"394","dsa400",2015,"Art","Art","Stephen Roddy","Stephen Roddy","Stephen","single","male","The Zones Project "
"395","dsa401",2021,"Data Analysis","Research","Tim Ziemer and the Master programs' students","Tim Ziemer","Tim","multiple","male","Tiltification"
"396","dsa402",2015,"Art","Art","Brian Foo","Brian Foo","Brian","single","male","Too Blue"
"397","dsa403",2022,"Public Engagement","Engagement","Ashris Choudhury","Ashris Choudhury","Ashris","single","male","Total Money Transacted via UPI in India"
"398","dsa404",2018,"Education","Engagement","Phillp Hermans","Phillp Hermans","Phillp","single","male","Tower of Hanoi"
